unnamed: 0,incident id,incident date,state,city,address,dead,injured,crimetype,participant gender,participant name,participant age group,year,month,day,weekday,loss
2021,,2020-11-06,Iowa,Cedar Rapids,4444 1st Ave NE,,,Children,male,,Child 0-11,2020,11,6,4,
2022,,2020-11-05,Indiana,Indianapolis,4800 block of Oakwood Trail,,,Children,female,,Child 0-11,2020,11,5,3,
2023,,2020-11-05,Ohio,Toledo,1000 block of Harding Dr,,,Children,male,,Child 0-11,2020,11,5,3,
2024,,2020-11-04,Louisiana,Baton Rouge,5600 block of Kilona Dr,,,Children,male,,Child 0-11,2020,11,4,2,
2025,,2020-11-04,Delaware,New Castle,50 block of Rose Ln,,,Children,male,,Child 0-11,2020,11,4,2,
2026,,2020-11-04,Ohio,Cleveland,3200 block of W 54th St,,,Children,female,,Child 0-11,2020,11,4,2,
2027,,2020-11-03,Pennsylvania,Philadelphia,1800 block of N 6th St,,,Children,female,,Child 0-11,2020,11,3,1,
2028,,2020-11-02,Mississippi,Senatobia,Line St,,,Children,female,,Child 0-11,2020,11,2,0,
2029,,2020-11-02,Oregon,Redmond,2300 block of SW 20th Ct,,,Children,female,,Child 0-11,2020,11,2,0,
2030,,2020-10-31,Alabama,Birmingham,1600 Montclair Rd,,,Children,male,,Child 0-11,2020,10,31,5,
2031,,2020-10-31,New York,New York (Manhattan),130 Lenox Ave,,,Children,female,,Child 0-11,2020,10,31,5,
2032,,2020-10-30,Missouri,Saint Louis,I-70 and Goodfellow Blvd,,,Children,male,,Child 0-11,2020,10,30,4,
2033,,2020-10-30,Ohio,Akron,900 block of McKinley Ave,,,Children,female,,Child 0-11,2020,10,30,4,
2034,,2020-10-30,California,San Mateo,1600 block of Eleanor Dr,,,Children,,,Child 0-11,2020,10,30,4,
2035,,2020-10-29,Tennessee,Memphis,Berta Rd,,,Children,male,,Child 0-11,2020,10,29,3,
2036,,2020-10-29,Alabama,Birmingham,3228 Westbrook Dr,,,Children,male,,Child 0-11,2020,10,29,3,
2037,,2020-10-28,North Carolina,Winston Salem (Winston-salem),500 block of Dunleith Ave,,,Children,male,Damien Lopez Rumbo,Child 0-11,2020,10,28,2,
2038,,2020-10-27,Mississippi,Jackson,3000 block of Marwood Dr,,,Children,,,Child 0-11,2020,10,27,1,
2039,,2020-10-27,Michigan,Detroit,1500 block of Fordham St,,,Children,female,,Child 0-11,2020,10,27,1,
2040,,2020-10-26,Michigan,Detroit,10700 block of Wayburn St,,,Children,female,,Child 0-11,2020,10,26,0,
2041,,2020-10-25,Florida,Miami (Goulds),11341 SW 216th St,,,Children,male,,Child 0-11,2020,10,25,6,
2042,,2020-10-24,Illinois,Chicago,1323 E 89th St,,,Children,female,,Child 0-11,2020,10,24,5,
2043,,2020-10-24,Minnesota,Saint Cloud,1634 16th St SE,,,Children,male,,Child 0-11,2020,10,24,5,
2044,,2020-10-23,Texas,Dallas,2600 block of Tanner St,,,Children,,,Child 0-11,2020,10,23,4,
2045,,2020-10-23,Georgia,Savannah,White Bluff Rd,,,Children,,,Child 0-11,2020,10,23,4,
2046,,2020-10-23,Missouri,Saint Louis (Ferguson),6100 block of Bermuda Rd,,,Children,female,,Child 0-11,2020,10,23,4,
2047,,2020-10-23,Pennsylvania,Philadelphia,2000 block of S 68th St,,,Children,male,,Child 0-11,2020,10,23,4,
2048,,2020-10-22,Florida,Miami,1830 NW 50 St,,,Children,female,,Child 0-11,2020,10,22,3,
2049,,2020-10-21,Tennessee,Memphis,1154 Meadowlark Ln,,,Children,male,,Child 0-11,2020,10,21,2,
2050,,2020-10-20,Michigan,Lansing,936 Mall Dr E,,,Children,female,,Child 0-11,2020,10,20,1,
2051,,2020-10-19,Ohio,Columbus,94 E Russell St,,,Children,female,,Child 0-11,2020,10,19,0,
2052,,2020-10-19,Ohio,Columbus,94 E Russell St,,,Children,male,,Child 0-11,2020,10,19,0,
2053,,2020-10-18,Florida,Jacksonville,6400 block of Macy Dr,,,Children,male,,Child 0-11,2020,10,18,6,
2054,,2020-10-18,Louisiana,Shreveport,W 74th St and Bernstein Ave,,,Children,female,,Child 0-11,2020,10,18,6,
2055,,2020-10-17,Alabama,Mobile,100 block of Henley Ave,,,Children,male,,Child 0-11,2020,10,17,5,
2056,,2020-10-17,South Carolina,Orangeburg,Henley St,,,Children,,,Child 0-11,2020,10,17,5,
2057,,2020-10-17,New Jersey,Penns Grove,99 Regional Dr,,,Children,male,,Child 0-11,2020,10,17,5,
2058,,2020-10-16,Arizona,Mesa,2115 Guadalupe Rd,,,Children,female,Citlaly Duran,Child 0-11,2020,10,16,4,
2059,,2020-10-16,Arizona,Mesa,2115 Guadalupe Rd,,,Children,female,Roselyn Ramirez,Child 0-11,2020,10,16,4,
2060,,2020-10-16,North Carolina,Goldsboro,1900 block of Day Cir,,,Children,,,Child 0-11,2020,10,16,4,
2061,,2020-10-15,Missouri,Saint Louis,8700 block of Lucas and Hunt Rd,,,Children,female,,Child 0-11,2020,10,15,3,
2062,,2020-10-15,Missouri,Saint Louis,8700 block of Lucas and Hunt Rd,,,Children,male,,Child 0-11,2020,10,15,3,
2063,,2020-10-14,Missouri,Saint Louis,1300 block of N Garrison Ave,,,Children,female,,Child 0-11,2020,10,14,2,
2064,,2020-10-13,Michigan,Montgomery,800 block of S Ray Quincy Rd,,,Children,male,,Child 0-11,2020,10,13,1,
2065,,2020-10-12,California,Lancaster,2100 block of E Ave J-8,,,Children,,,Child 0-11,2020,10,12,0,
2066,,2020-10-11,Tennessee,Chattanooga,200 block of W 8th St,,,Children,female,,Child 0-11,2020,10,11,6,
2067,,2020-10-11,Tennessee,Chattanooga,200 block of W 8th St,,,Children,female,,Child 0-11,2020,10,11,6,
2068,,2020-10-11,Tennessee,Chattanooga,200 block of W 8th St,,,Children,male,,Child 0-11,2020,10,11,6,
2069,,2020-10-10,Missouri,Saint Louis (Jennings),8800 block of Shannon Fox Cir,,,Children,female,,Child 0-11,2020,10,10,5,
2070,,2020-10-09,Illinois,Chicago,300 block of E 103rd St,,,Children,male,,Child 0-11,2020,10,9,4,
2071,,2020-10-09,Ohio,Cleveland,9600 block of Cumberland Ave,,,Children,,,Child 0-11,2020,10,9,4,
2072,,2020-10-08,Kansas,Topeka,601 NW US-24,,,Children,,,Child 0-11,2020,10,8,3,
2073,,2020-10-07,Tennessee,Memphis,Tennessee St and Huling Ave,,,Children,,,Child 0-11,2020,10,7,2,
2074,,2020-10-07,Wisconsin,Milwaukee,3200 block of N 9th St,,,Children,male,,Child 0-11,2020,10,7,2,
2075,,2020-10-07,Illinois,Chicago,3045 E 83rd St,,,Children,female,La'Mya Sparks,Child 0-11,2020,10,7,2,
2076,,2020-10-07,Washington,Yakima,East H St and N 6th St,,,Children,male,,Child 0-11,2020,10,7,2,
2077,,2020-10-07,Alabama,Birmingham (Hoover),2135 Centennial Dr,,,Children,female,,Child 0-11,2020,10,7,2,
2078,,2020-10-06,Tennessee,Memphis,Rocky Ridge Dr,,,Children,male,,Child 0-11,2020,10,6,1,
2079,,2020-10-05,California,Fillmore,1000 block of Meadowlark Dr,,,Children,male,,Child 0-11,2020,10,5,0,
2080,,2020-10-04,California,Long Beach,1100 block of E 10th St,,,Children,male,,Child 0-11,2020,10,4,6,
2081,,2020-10-04,West Virginia,Huntington,709 Jackson Ave,,,Children,,,Child 0-11,2020,10,4,6,
2082,,2020-10-04,Michigan,Wyoming,2200 block of 29th St SW,,,Children,male,,Child 0-11,2020,10,4,6,
2083,,2020-10-03,Alabama,Athens,13000 block of Brownsferry Rd,,,Children,male,,Child 0-11,2020,10,3,5,
2084,,2020-10-03,California,Sacramento,Roanoke Ave and Haywood St,,,Children,female,,Child 0-11,2020,10,3,5,
2085,,2020-10-02,Tennessee,Memphis,Park Ave and Getwell Rd,,,Children,female,,Child 0-11,2020,10,2,4,
2086,,2020-10-02,Idaho,Garden Valley,,,,Children,male,LJ Petrick,Child 0-11,2020,10,2,4,
2087,,2020-10-02,Kentucky,Walton,500 block of Winchester Dr,,,Children,male,,Child 0-11,2020,10,2,4,
2088,,2020-10-02,Florida,Fort Lauderdale (Tamarac),,,,Children,male,,Child 0-11,2020,10,2,4,
2089,,2020-10-02,South Carolina,Burton,Ramsey Loop,,,Children,,,Child 0-11,2020,10,2,4,
2090,,2020-10-01,North Carolina,Huntersville,8900 Block of Pinnacle Cross Dr,,,Children,female,,Child 0-11,2020,10,1,3,
2091,,2020-09-30,Washington,Selah,1100 block of W Goodlander Rd,,,Children,male,,Child 0-11,2020,9,30,2,
2092,,2020-09-29,Kentucky,Louisville,1900 block of Dixie Garden Dr,,,Children,male,,Child 0-11,2020,9,29,1,
2093,,2020-09-29,New Jersey,Trenton,,,,Children,female,,Child 0-11,2020,9,29,1,
2094,,2020-09-29,Michigan,Flint,600 block of Crawford St,,,Children,male,,Child 0-11,2020,9,29,1,
2095,,2020-09-29,South Carolina,Latta,721 US-501,,,Children,male,,Child 0-11,2020,9,29,1,
2096,,2020-09-29,Louisiana,Baton Rouge,5900 block of Heidel Ave,,,Children,female,,Child 0-11,2020,9,29,1,
2097,,2020-09-27,Texas,Houston,5625 Antoine Dr,,,Children,male,,Child 0-11,2020,9,27,6,
2098,,2020-09-26,Michigan,Detroit,Belleterre Ave and Burlingame St,,,Children,female,,Child 0-11,2020,9,26,5,
2099,,2020-09-26,Missouri,Saint Louis,4700 block of Vernon Ave,,,Children,male,,Child 0-11,2020,9,26,5,
2100,,2020-09-25,North Carolina,Clayton,100 block of Smart Ct,,,Children,female,,Child 0-11,2020,9,25,4,
2101,,2020-09-24,Oklahoma,Pauls Valley,Airline Rd,,,Children,male,,Child 0-11,2020,9,24,3,
2102,,2020-09-24,South Carolina,Greenwood,Foundry Rd,,,Children,male,,Child 0-11,2020,9,24,3,
2103,,2020-09-24,Louisiana,Belle Rose,100 block of Freetown Ln,,,Children,,,Child 0-11,2020,9,24,3,
2104,,2020-09-23,Georgia,Hampton,1577 Glynn Ct,,,Children,female,Jaxson Harvey,Child 0-11,2020,9,23,2,
2105,,2020-09-23,Georgia,Griffin,N Hill St and Kentucky Ave,,,Children,male,,Child 0-11,2020,9,23,2,
2106,,2020-09-23,New York,Bronx,325 E 143rd St,,,Children,female,,Child 0-11,2020,9,23,2,
2107,,2020-09-23,Wisconsin,Milwaukee,N 32nd St and W Brown St,,,Children,male,,Child 0-11,2020,9,23,2,
2108,,2020-09-22,North Carolina,Durham,Guess Rd and Horton Rd,,,Children,female,,Child 0-11,2020,9,22,1,
2109,,2020-09-22,California,Bakersfield,CA-58,,,Children,,,Child 0-11,2020,9,22,1,
2110,,2020-09-22,California,Bakersfield,CA-58,,,Children,,,Child 0-11,2020,9,22,1,
2111,,2020-09-21,Virginia,Henrico,4600 block of Lakefield Mews Pl,,,Children,male,Jerome Johnson,Child 0-11,2020,9,21,0,
2112,,2020-09-21,North Carolina,Charlotte,3200 block of Amity Pointe Rd,,,Children,male,Carlos Munoz,Child 0-11,2020,9,21,0,
2113,,2020-09-21,North Carolina,Charlotte,3200 block of Amity Pointe Rd,,,Children,male,Jonathan Munoz,Child 0-11,2020,9,21,0,
2114,,2020-09-21,Illinois,Chicago,3300 block of W Van Buren,,,Children,female,,Child 0-11,2020,9,21,0,
2115,,2020-09-21,Texas,Austin,Purple Sage Dr,,,Children,female,,Child 0-11,2020,9,21,0,
2116,,2020-09-20,South Carolina,Dillon,4th Ave,,,Children,male,,Child 0-11,2020,9,20,6,
2117,,2020-09-20,Florida,Jupiter (Jupiter Inlet Colony),,,,Children,male,,Child 0-11,2020,9,20,6,
2118,,2020-09-19,Georgia,Atlanta,3301 N Camp Creek Pkwy SW,,,Children,,,Child 0-11,2020,9,19,5,
2119,,2020-09-19,Wisconsin,Milwaukee,2100 block of N 38th St,,,Children,male,,Child 0-11,2020,9,19,5,
2120,,2020-09-18,North Carolina,Durham,Raven St and Apollo St,,,Children,male,Michael,Child 0-11,2020,9,18,4,
2121,,2020-09-16,Washington,Yakima,1600 block of South 12th Ave,,,Children,female,,Child 0-11,2020,9,16,2,
2122,,2020-09-16,Maryland,Baltimore,1600 block of E Monument St,,,Children,male,,Child 0-11,2020,9,16,2,
2123,,2020-09-15,Ohio,Cleveland,Kinsman Rd and E 117th St,,,Children,male,,Child 0-11,2020,9,15,1,
2124,,2020-09-15,Illinois,Chicago,1800 block of S Homan Ave,,,Children,male,,Child 0-11,2020,9,15,1,
2125,,2020-09-14,Virginia,Virginia Beach,2009 Lynnhaven Pkwy,,,Children,,,Child 0-11,2020,9,14,0,
2126,,2020-09-14,Louisiana,Baker,Burgess Dr,,,Children,female,,Child 0-11,2020,9,14,0,
2127,,2020-09-14,Louisiana,Mamou,,,,Children,male,,Child 0-11,2020,9,14,0,
2128,,2020-09-13,Tennessee,Memphis,6296 Lake View Trail,,,Children,male,Ja’ia White,Child 0-11,2020,9,13,6,
2129,,2020-09-13,Virginia,Portsmouth,1300 block of Watson St,,,Children,,,Child 0-11,2020,9,13,6,
2130,,2020-09-12,New York,Camden,85 Taberg St,,,Children,female,,Child 0-11,2020,9,12,5,
2131,,2020-09-11,Texas,Dallas,1300 block of Bank St,,,Children,female,,Child 0-11,2020,9,11,4,
2132,,2020-09-11,Maryland,Upper Marlboro (Glenarden),8600 Block of McLain Ave,,,Children,female,,Child 0-11,2020,9,11,4,
2133,,2020-09-11,Louisiana,Shreveport,4305 Illinois Ave,,,Children,,Messiah,Child 0-11,2020,9,11,4,
2134,,2020-09-10,Ohio,Akron,1200 block of Copley Rd,,,Children,,,Child 0-11,2020,9,10,3,
2135,,2020-09-10,Texas,San Antonio,Bookertee Rd and Martin Luther King Dr,,,Children,female,,Child 0-11,2020,9,10,3,
2136,,2020-09-09,Pennsylvania,Bethlehem,1900 block of Fairland Ave,,,Children,female,,Child 0-11,2020,9,9,2,
2137,,2020-09-09,Georgia,Washington,Pecan Grove Rd,,,Children,,,Child 0-11,2020,9,9,2,
2138,,2020-09-09,Georgia,Washington,Pecan Grove Rd,,,Children,,,Child 0-11,2020,9,9,2,
2139,,2020-09-09,Maryland,Baltimore,900 E Madison St,,,Children,male,,Child 0-11,2020,9,9,2,
2140,,2020-09-08,Louisiana,Houma,50 block of Kingsridge Loop,,,Children,male,,Child 0-11,2020,9,8,1,
2141,,2020-09-07,New York,Brooklyn,Norstrand Ave and Crown St,,,Children,male,Maxwell Cesc-Dinho,Child 0-11,2020,9,7,0,
2142,,2020-09-07,Ohio,Cincinatti,7000 block of Glenmeadow Ln,,,Children,male,,Child 0-11,2020,9,7,0,
2143,,2020-09-06,Michigan,Grand Rapids,3416 Haleh Cir SE,,,Children,male,,Child 0-11,2020,9,6,6,
2144,,2020-09-06,Tennessee,Memphis,6555 Lost Oak Dr,,,Children,,,Child 0-11,2020,9,6,6,
2145,,2020-09-06,Colorado,Denver,3500 block of N Lipan St,,,Children,female,Priscilla Lucero,Child 0-11,2020,9,6,6,
2146,,2020-09-04,California,Fresno,Eden Ave and Delno Ave,,,Children,female,,Child 0-11,2020,9,4,4,
2147,,2020-09-04,Illinois,Chicago,8600 block of S Honore St,,,Children,male,,Child 0-11,2020,9,4,4,
2148,,2020-09-03,New Jersey,Atlantic City,500 block of Indiana Ave,,,Children,female,,Child 0-11,2020,9,3,3,
2149,,2020-09-02,Ohio,Toledo,832 Brown Ave,,,Children,male,Vashawn Carrington,Child 0-11,2020,9,2,2,
2150,,2020-09-02,Missouri,Kansas City,E 43rd St and S Benton Ave,,,Children,female,,Child 0-11,2020,9,2,2,
2151,,2020-09-02,Tennessee,Chattanooga,4400 block of Grand Ave,,,Children,male,,Child 0-11,2020,9,2,2,
2152,,2020-09-02,Louisiana,New Orleans,2100 block of N Claiborne Ave,,,Children,,,Child 0-11,2020,9,2,2,
2153,,2020-09-01,Indiana,Versailles,,,,Children,,,Child 0-11,2020,9,1,1,
2154,,2020-08-31,Delaware,Wilmington,700 block of Jefferson St,,,Children,female,,Child 0-11,2020,8,31,0,
2155,,2020-08-31,Ohio,Columbus,1701 Joyce Ave,,,Children,male,,Child 0-11,2020,8,31,0,
2156,,2020-08-30,Mississippi,Jackson,300 block of Greymont Ave,,,Children,female,,Child 0-11,2020,8,30,6,
2157,,2020-08-30,Illinois,Zion,2300 block of Joppa Ave,,,Children,male,,Child 0-11,2020,8,30,6,
2158,,2020-08-30,New York,Albany,100 block of Clinton St,,,Children,male,,Child 0-11,2020,8,30,6,
2159,,2020-08-29,Florida,Tallahassee,1242 Stuckey Ave,,,Children,,,Child 0-11,2020,8,29,5,
2160,,2020-08-29,Michigan,Pontiac,Dudley Ave,,,Children,female,,Child 0-11,2020,8,29,5,
2161,,2020-08-29,Michigan,Pontiac,Dudley Ave,,,Children,female,,Child 0-11,2020,8,29,5,
2162,,2020-08-29,Michigan,Pontiac,Dudley Ave,,,Children,female,,Child 0-11,2020,8,29,5,
2163,,2020-08-29,Ohio,Columbus,1800 block of S 5th St,,,Children,female,,Child 0-11,2020,8,29,5,
2164,,2020-08-28,Texas,Houston,11600 Fuqua St,,,Children,male,,Child 0-11,2020,8,28,4,
2165,,2020-08-28,Texas,Fort Worth,6100 Sparrow Wood Ln,,,Children,male,,Child 0-11,2020,8,28,4,
2166,,2020-08-28,Maryland,Jessup,8100 block of Washington Blvd,,,Children,male,,Child 0-11,2020,8,28,4,
2167,,2020-08-27,Ohio,Cincinnati,,,,Children,male,,Child 0-11,2020,8,27,3,
2168,,2020-08-26,Tennessee,Memphis,3004 Overton Crossing St,,,Children,,,Child 0-11,2020,8,26,2,
2169,,2020-08-26,Florida,Bradenton,27th St E and 30th Ave E,,,Children,male,,Child 0-11,2020,8,26,2,
2170,,2020-08-26,Ohio,Columbus,2300 block of Brentnell Ave,,,Children,female,,Child 0-11,2020,8,26,2,
2171,,2020-08-26,Maine,Hancock,Springy Rd,,,Children,female,,Child 0-11,2020,8,26,2,
2172,,2020-08-26,Kansas,Wichita,600 S Saint Paul St,,,Children,female,,Child 0-11,2020,8,26,2,
2173,,2020-08-26,Ohio,Cleveland,9500 block of Gaylord Ave,,,Children,female,,Child 0-11,2020,8,26,2,
2174,,2020-08-25,Virginia,Norfolk,800 block of E Princess Anne Rd,,,Children,female,Honesty Brehon,Child 0-11,2020,8,25,1,
2175,,2020-08-25,Illinois,Springfield,3200 block of Sequoia Dr,,,Children,,,Child 0-11,2020,8,25,1,
2176,,2020-08-24,Louisiana,Metairie,200 block of N Elm St,,,Children,female,,Child 0-11,2020,8,24,0,
2177,,2020-08-23,Texas,Dallas,2800 Hedgerow Dr,,,Children,male,,Child 0-11,2020,8,23,6,
2178,,2020-08-23,Maryland,Rosedale,50 block of Capella Ct,,,Children,male,,Child 0-11,2020,8,23,6,
2179,,2020-08-23,Ohio,Canfield,7500 block of Orchard Park Dr,,,Children,male,,Child 0-11,2020,8,23,6,
2180,,2020-08-22,Georgia,Atlanta,3760 Princeton Lakes Pkwy,,,Children,female,Mackenzie Stephens,Child 0-11,2020,8,22,5,
2181,,2020-08-22,Texas,San Angelo,410 W Ave L,,,Children,female,,Child 0-11,2020,8,22,5,
2182,,2020-08-22,Louisiana,Alexandria,50 block of Eastwood Blvd,,,Children,,,Child 0-11,2020,8,22,5,
2183,,2020-08-21,California,Pittsburg,W Leland Rd and San Marco Blvd,,,Children,male,,Child 0-11,2020,8,21,4,
2184,,2020-08-21,Utah,Salt Lake City (Kearns),5300 W Westslope Dr,,,Children,female,,Child 0-11,2020,8,21,4,
2185,,2020-08-21,District of Columbia,Washington,1300 block of Congress St SE,,,Children,male,,Child 0-11,2020,8,21,4,
2186,,2020-08-21,Georgia,Grayson,1900 block of Grayson Hwy,,,Children,,,Child 0-11,2020,8,21,4,
2187,,2020-08-20,Indiana,Merrillville,Georgia St and E 53rd Ave,,,Children,female,,Child 0-11,2020,8,20,3,
2188,,2020-08-20,California,Vallejo,Trinity St and Lousiana St,,,Children,,,Child 0-11,2020,8,20,3,
2189,,2020-08-20,District of Columbia,Washington,2700 block of Bruce Pl SE,,,Children,female,,Child 0-11,2020,8,20,3,
2190,,2020-08-19,Georgia,Macon,500 block of Hawkins St,,,Children,female,,Child 0-11,2020,8,19,2,
2191,,2020-08-19,Illinois,Chicago,300 block of N Central Ave,,,Children,male,,Child 0-11,2020,8,19,2,
2192,,2020-08-18,New Jersey,Asbury Park,Boston Way,,,Children,female,,Child 0-11,2020,8,18,1,
2193,,2020-08-17,Illinois,Chicago,S Lafayette Ave and W 87th St,,,Children,male,,Child 0-11,2020,8,17,0,
2194,,2020-08-17,Louisiana,Shreveport,Hearne Ave and Rightway Ave,,,Children,male,,Child 0-11,2020,8,17,0,
2195,,2020-08-16,Utah,Eden (Liberty),Avon Pass Rd,,,Children,female,,Child 0-11,2020,8,16,6,
2196,,2020-08-16,North Carolina,Charlotte,1000 block of Rodney Ave,,,Children,,,Child 0-11,2020,8,16,6,
2197,,2020-08-16,Indiana,Merrillville,7000 block of Harrison St,,,Children,,,Child 0-11,2020,8,16,6,
2198,,2020-08-15,Kansas,Wichita,2200 block of S Glendale,,,Children,male,,Child 0-11,2020,8,15,5,
2199,,2020-08-14,Michigan,Detroit,Hampshire St and Park Dr,,,Children,male,,Child 0-11,2020,8,14,4,
2200,,2020-08-14,Kentucky,Earlington,115 E Main St,,,Children,,,Child 0-11,2020,8,14,4,
2201,,2020-08-14,Missouri,Saint Louis,1300 block of Temple Pl,,,Children,female,,Child 0-11,2020,8,14,4,
2202,,2020-08-13,Missouri,Saint Louis,4500 block of Adelaide Ave,,,Children,male,,Child 0-11,2020,8,13,3,
2203,,2020-08-13,Minnesota,Minneapolis,22nd Ave and Lyndale Ave,,,Children,male,,Child 0-11,2020,8,13,3,
2204,,2020-08-13,New Jersey,North Brunswick,Georges Rd and Elmwood Pl,,,Children,,,Child 0-11,2020,8,13,3,
2205,,2020-08-12,Alabama,Birmingham (Center Point),500 block of 27th Ave NW,,,Children,female,,Child 0-11,2020,8,12,2,
2206,,2020-08-12,South Carolina,Columbia,100 block of Alida St,,,Children,male,,Child 0-11,2020,8,12,2,
2207,,2020-08-12,North Carolina,Charlotte,1400 block of Camp Greene St,,,Children,male,,Child 0-11,2020,8,12,2,
2208,,2020-08-12,North Carolina,Winston Salem (Winston-salem),Forest Hill Ave,,,Children,,,Child 0-11,2020,8,12,2,
2209,,2020-08-11,Ohio,Cleveland,E 59th St and Central Ave,,,Children,male,,Child 0-11,2020,8,11,1,
2210,,2020-08-10,Indiana,Gary,700 block of Burr St,,,Children,female,,Child 0-11,2020,8,10,0,
2211,,2020-08-09,Colorado,Denver,1400 block of W Byers Pl,,,Children,female,,Child 0-11,2020,8,9,6,
2212,,2020-08-09,Colorado,Denver,1400 block of W Byers Pl,,,Children,female,,Child 0-11,2020,8,9,6,
2213,,2020-08-09,Pennsylvania,Philadelphia,1500 block of S Napa St,,,Children,male,,Child 0-11,2020,8,9,6,
2214,,2020-08-09,South Carolina,Rock Hill,King Dr,,,Children,,,Child 0-11,2020,8,9,6,
2215,,2020-08-08,Georgia,Atlanta,2800 block of Delray Dr,,,Children,male,,Child 0-11,2020,8,8,5,
2216,,2020-08-08,Pennsylvania,Philadelphia,6000 block of A St,,,Children,male,,Child 0-11,2020,8,8,5,
2217,,2020-08-08,Florida,Fort Lauderdale,NW First St and First Ave,,,Children,male,Semaj Furlow,Child 0-11,2020,8,8,5,
2218,,2020-08-08,New Mexico,Santa Fe,1801 Espinacitas St,,,Children,female,,Child 0-11,2020,8,8,5,
2219,,2020-08-08,Kentucky,Flatwoods,Summer St,,,Children,male,,Child 0-11,2020,8,8,5,
2220,,2020-08-05,Texas,Fort Worth,,,,Children,female,,Child 0-11,2020,8,5,2,
2221,,2020-08-05,Pennsylvania,Philadelphia,900 block of N 42nd St,,,Children,female,,Child 0-11,2020,8,5,2,
2222,,2020-08-05,North Carolina,Rocky Mount,600 block of Avondale Ave,,,Children,male,,Child 0-11,2020,8,5,2,
2223,,2020-08-05,Kansas,Lawrence,700 block of W 25th St,,,Children,male,Tayshawn Mack Harris,Child 0-11,2020,8,5,2,
2224,,2020-08-05,Illinois,Chicago,700 block of S Karlov Ave,,,Children,male,,Child 0-11,2020,8,5,2,
2225,,2020-08-05,North Carolina,Lincolnton,Noles Cir,,,Children,female,,Child 0-11,2020,8,5,2,
2226,,2020-08-05,Virginia,Richmond,2300 block of Ambrose St,,,Children,female,,Child 0-11,2020,8,5,2,
2227,,2020-08-05,Oregon,Gresham,200 block of NE 165th Ave,,,Children,,,Child 0-11,2020,8,5,2,
2228,,2020-08-05,Oregon,Gresham,200 block of NE 165th Ave,,,Children,,,Child 0-11,2020,8,5,2,
2229,,2020-08-04,Alabama,Phenix City,1500 block of 21st St,,,Children,,,Child 0-11,2020,8,4,1,
2230,,2020-08-02,Ohio,Columbus,1581 Jonathan Dr,,,Children,female,,Child 0-11,2020,8,2,6,
2231,,2020-08-02,New Jersey,Newark,200 block of 6th Ave,,,Children,female,,Child 0-11,2020,8,2,6,
2232,,2020-08-01,Texas,Pointblank,4411 Counts Rd,,,Children,,,Child 0-11,2020,8,1,5,
